"Time","sensor.euler_x","sensor.euler_y","sensor.euler_z","sensor.linearAccel_x","sensor.linearAccel_y","sensor.linearAccel_z","sensor.vAcc","sensor.hAcc","sensor.sAcc","sensor.headAcc","sensor.lon","sensor.lat","sensor.hMSL","sensor.velN","sensor.velE","sensor.velD","sensor.gSpeed","sensor.headMot","sensor.FL","sensor.FR","sensor.RL"
1659196335000,-2.79232198575764,-0.490782064983162,175.9098255556798,0.009809971119999998,0.00129796474,0.00023044369999999996,11205090.38,15846391.1,10000.5,18000000,280314886.23300916,287834739.83074594,60519.185308635235,2550.9763272914715,1275.5266573578242,-33.493599574956605,2852.095615230539,0,-9.530907155393914,-9.530907155393914,12.487938768268133
1659196340000,-2.7730036705677477,-0.5838822035913744,179.52113752440638,0.011347889591836732,0.0020475820612244895,0.0003978128571428571,11221019.666666666,15868918.083333334,10000.5,18000000,280316035.1865147,287835474.6211526,59782.49404404204,2557.6575451832105,1278.752417364882,56.40253086156946,2859.514001033813,0,-9.792270694841507,-9.792270694841507,12.366737801078779
1659196345000,-2.7526148831995787,-0.5885010246241957,175.97523820236765,0.011393192440000002,0.0015351659199999998,0.00036271364000000007,11457815.588235294,16203798.411764706,10196.56862745098,18000000,276909132.5503662,291147818.9000272,61473.66817750431,2505.3981966918527,1252.4284279577587,58.702682751633134,2800.999424345857,0,-9.69896086127398,-9.69896086127398,12.512281114984612
1659196350000,-2.8189075128111334,-0.5679093193424237,179.58866688809505,0.011465322653061223,0.0015534174285714282,0.00019836126530612246,11484140.122448979,16241026.93877551,10204.57142857143,18000000,276771059.5601768,291283793.2122745,62827.514722418724,2509.0618126137724,1254.4618357180718,-18.015401106092156,2805.185599591822,0,-9.758888393624682,-9.758888393624682,12.472096661234422
1659196355000,-2.745690331508753,-0.5192021604763251,176.13656360178015,0.01069373644,0.0012083054600000001,-0.00036018104,11271307.82,15940036.42,10000.5,18000000,280319277.3395372,287837748.5526222,61643.022267434746,2551.1856549898444,1275.3020317459577,-40.1354628492128,2852.1823479670666,0,-9.680589542301535,-9.680589542301535,12.557753038117282
1659196360000,-2.816754642731851,-0.5740868646137451,179.87248376657672,0.011264643959183675,0.0011675913469387754,0.00016336208163265304,11518732,16289947.06122449,10204.57142857143,18000000,276773217.76418626,291285334.8347335,61213.944095669656,2510.198781053705,1254.7918951258387,-3.961093517851463,2806.350221754603,0,-9.798761033550297,-9.798761033550297,12.442362525744324
1659196365000,-2.7647542440731194,-0.7919334210928279,175.0156008213591,0.01138875852,0.0025714190400000004,0.0005747820200000002,11305598.58,15988530.98,10000.5,18000000,280321420.6972398,287839280.6896469,59800.60881740227,2556.127598346585,1278.4535346556588,71.52710133792922,2858.011957183595,0,-9.463119452258509,-9.463119452258509,11.777882546160487
1659196370000,-2.9504389966371996,-0.602893393034887,178.20512918545538,0.012316593040816325,-0.00018504340816326536,0.00024076630612244896,11554119.306122448,16339992.693877552,10204.57142857143,18000000,276775271.9593772,291286796.1766804,62304.18851246335,2495.034898265124,1247.591193196093,32.050357921345366,2789.566920725551,0,-8.373940068864746,-8.373940068864746,9.282181525205099
1659196375000,-2.8257056111608376,-0.4149872870454271,174.02483936157395,0.010579122240000002,0.0008184532200000001,0.00011510509999999998,11340672.82,16038133.06,10000.5,18000000,280323635.4490142,287840781.73257434,60300.88630475849,2363.548502491065,1181.579026037988,-46.562759995465974,2642.4404116098317,0,-7.485480357897831,-7.485480357897831,7.987018923581605
1659196380000,-2.7827229827075213,-0.3796469852624362,177.15940004817514,0.009428731102040818,0.002068058224489796,0.00034982708163265304,11590329.959183674,16391202,10204.57142857143,18000000,276777180.8913706,291287928.7925449,60433.84330296623,1247.018019296014,623.8164406433555,-50.55782421627521,1394.3462340225303,0,-4.959377996842593,-4.959377996842593,6.446077567153504
1659196385000,-2.6250352763188807,-0.42611195877321906,173.43777489599938,0.009985351580000001,0.0030097281399999996,0.00065751272,11376539.94,16088857.38,10000.5,18000000,280324732.09985495,287841450.802058,60551.31589242071,193.63696319738222,95.32687183013667,9.951145032021167,241.24419427588188,0,-2.4928102293679815,-2.4928102293679815,5.302751156521224
1659196390000,-2.582036732143873,-0.39395214509272136,173.34681450909247,0.010294901060000002,0.0031026559799999997,0.0008683327800000001,11394747.1,16114606.06,10000.5,18000000,280324791.73684067,287841633.8682772,59532.957814753056,-0.19586755919031298,-9.7614129947367,70.76388575667708,64.72175132437258,0,-2.1551824622698224,-2.1551824622698224,5.06018781359073
